	Unnamed: 0.1	Unnamed: 0	INDEX	form	lemma	xpos	syllables	stress	phon
21050	21050	66888	66888	clăi	claie	Ncfp-n	clăi	cl'ăi	k l @ j
21094	21094	67209	67209	claie	=	Ncfsrn	cla.ie	cl'aie	k l a j e
23186	23186	71682	71682	companion	=	Ncms-n	com.pa.nion	compani'on	k o m p a n j o n
23187	23187	71683	71683	companioni	companion	Ncmp-n	com.pa.ni.oni	compani'oni	k o m p a n i o n i_0
23620	23620	73192	73192	conștiințe	conștiință	Ncfp-n	con.ști.in.țe	conști'ințe	k o n S t i i n ts e
23625	23625	73197	73197	conștiință	=	Ncfsrn	con.știin.ță	conști'ință	k o n S t i j n ts @
25344	25344	78989	78989	contrasubiect	=	Ncms-n	con.tra.su.biect	contrasubi'ect	k o n t r a s u b j e k t
25345	25345	78990	78990	contrasubiecte	contrasubiect	Ncfp-n	con.tra.su.bi.ec.te	contrasubi'ecte	k o n t r a s u b i e k t e
25706	25706	80168	80168	copeici	copeică	Ncfp-n	co.peici	cop'eici	k o p e j tS
25712	25712	80174	80174	copeică	=	Ncfsrn	co.pe.i.că	cop'eică	k o p e i k @
26024	26024	81073	81073	coreut	=	Ncms-n	co.reut	core'ut	k o r e w t
26027	26027	81076	81076	coreuți	coreut	Ncmp-n	co.re.uți	core'uți	k o r e u ts i_0
26416	26416	81915	81915	coteici	coteică	Ncfp-n	co.teici	cot'eici	k o t e j tS
26422	26422	81921	81921	coteică	=	Ncfsrn	co.te.i.că	cot'eică	k o t e i k @
26431	26431	81948	81948	cotidian	=	Ncms-n	co.ti.di.an	cotidi'an	k o t i d i a n
26432	26432	81950	81950	cotidiane	cotidian	Ncfp-n	co.ti.dia.ne	cotidi'ane	k o t i d j a n e
26838	26838	82888	82888	creație	=	Ncfsrn	cre.a.ți.e	cre'ație	k r e a ts i e
26840	26840	82890	82890	creații	creație	Ncfp-n	crea.ții	cre'ații	k r e_X a ts i j
26844	26844	82895	82895	creaționism	=	Ncms-n	cre.a.ți.o.nism	creațion'ism	k r e a ts i o n i s m
26845	26845	82896	82896	creaționisme	creaționism	Ncfp-n	crea.ți.o.nis.me	creațion'isme	k r e_X a ts i o n i s m e
27588	27588	84816	84816	cușcaie	=	Ncfsrn	cuș.ca.ie	cușc'aie	k u S k a j e
27598	27598	84826	84826	cușcăi	cușcaie	Ncfp-n	cuș.căi	cușc'ăi	k u S k @ j
27735	27735	85206	85206	cucuvaie	=	Ncfsrn	cu.cu.va.ie	cucuv'aie	k u k u v a j e
27740	27740	85211	85211	cucuveici	cucuveică	Ncfp-n	cu.cu.veici	cucuv'eici	k u k u v e j tS
27746	27746	85217	85217	cucuveică	=	Ncfsrn	cu.cu.ve.i.că	cucuv'eică	k u k u v e i k @
27752	27752	85223	85223	cucuvăi	cucuvaie	Ncfp-n	cu.cu.văi	cucuv'ăi	k u k u v @ j
29008	29008	88679	88679	dăndănaie	=	Ncfsrn	dăn.dă.na.ie	dăndăn'aie	d @ n d @ n a j e
29009	29009	88680	88680	dăndănăi	dăndănaie	Ncfp-n	dăn.dă.năi	dăndăn'ăi	d @ n d @ n @ j
30888	30888	96164	96164	depoluare	=	Ncfsrn	de.po.lua.re	depolu'are	d e p o l w a r e
30890	30890	96166	96166	depoluări	depoluare	Ncfp-n	de.po.lu.ări	depolu'ări	d e p o l u @ r i_0
31334	31334	98140	98140	descriere	=	Ncfsrn	des.crie.re	descr'iere	d e s k r j e r e
31336	31336	98142	98142	descrieri	descriere	Ncfp-n	de.scri.eri	descr'ieri	d e s k r i e r i_0
31879	31879	101351	101351	deviație	=	Ncfsrn	de.vi.a.ți.e	devi'ație	d e v i a ts i e
31881	31881	101353	101353	deviații	deviație	Ncfp-n	de.via.ții	devi'ații	d e v j a ts i j
33390	33390	107550	107550	distorsiune	=	Ncfsrn	dis.tor.siu.ne	distorsi'une	d i s t o r s j u n e
33392	33392	107552	107552	distorsiuni	distorsiune	Ncfp-n	dis.tor.si.uni	distorsi'uni	d i s t o r s i u n i_0
34709	34709	111339	111339	dudui	duduie	Ncfp-n	du.dui	dud'ui	d u d u j
34711	34711	111346	111346	duduie	=	Ncfsrn	du.du.ie	dud'uie	d u d u j e
35426	35426	113317	113317	ecuație	=	Ncfsrn	e.cu.a.ți.e	ecu'ație	e k u a ts i e
35428	35428	113319	113319	ecuații	ecuație	Ncfp-n	e.cua.ții	ecu'ații	e k w a ts i j
35622	35622	113834	113834	efuziune	=	Ncfsrn	e.fu.ziu.ne	efuzi'une	e f u z j u n e
35624	35624	113836	113836	efuziuni	efuziune	Ncfp-n	e.fu.zi.uni	efuzi'uni	e f u z i u n i_0
36462	36462	116216	116216	entuziaști	entuziast	Ncmp-n	en.tu.ziaști	entuzi'aști	e n t u z j a S t i_0
36472	36472	116292	116292	entuziast	=	Ncms-n	en.tu.zi.ast	entuzi'ast	e n t u z i a s t
37528	37528	119166	119166	evreice	evreică	Ncfp-n	e.vrei.ce	evr'eice	e v r e j tS e
37533	37533	119171	119171	evreică	=	Ncfsrn	e.vre.i.că	evr'eică	e v r e i k @
39208	39208	125307	125307	feliușag	=	Ncms-n	fe.liu.șag	feliuș'ag	f e l j u S a g
39211	39211	125310	125310	feliușaguri	feliușag	Ncfp-n	fe.li.u.șa.guri	feliuș'aguri	f e l i u S a g u r i_0
39226	39226	125374	125374	femei	femeie	Ncfp-n	fe.mei	fem'ei	f e m e j
39229	39229	125379	125379	femeie	=	Ncfsrn	fe.me.ie	fem'eie	f e m e j e
39773	39773	126609	126609	fiice	fiică	Ncfp-n	fii.ce	f'iice	f i j tS e
39778	39778	126614	126614	fiică	=	Ncfsrn	fi.i.că	f'iică	f i i k @
40114	40114	127483	127483	fionc	=	Ncms-n	fi.onc	fi'onc	f i o n k
40117	40117	127486	127486	fioncuri	fionc	Ncfp-n	fion.curi	fi'oncuri	f j o n k u r i_0
40625	40625	128865	128865	fluctuație	=	Ncfsrn	fluc.tu.a.ți.e	fluctu'ație	f l u k t u a ts i e
40627	40627	128867	128867	fluctuații	fluctuație	Ncfp-n	fluc.tua.ții	fluctu'ații	f l u k t w a ts i j
40702	40702	129111	129111	foșcăituri	foșcăitură	Ncfp-n	foș.căi.turi	foșcăit'uri	f o S k @ j t u r i_0
40707	40707	129116	129116	foșcăitură	=	Ncfsrn	foș.că.i.tu.ră	foșcăit'ură	f o S k @ i t u r @
40725	40725	129176	129176	foaie	=	Ncfsrn	foa.ie	fo'aie	f o_X a j e
40816	40816	129336	129336	foi	foaie	Ncfp-n	foi	foi	f o j
41203	41203	130652	130652	fotomozaic	=	Ncms-n	fo.to.mo.za.ic	fotomoza'ic	f o t o m o z a i k
41206	41206	130655	130655	fotomozaicuri	fotomozaic	Ncfp-n	fo.to.mo.zai.curi	fotomoza'icuri	f o t o m o z a j k u r i_0
41905	41905	132825	132825	fumuar	=	Ncms-n	fu.muar	fumu'ar	f u m w a r
41906	41906	132826	132826	fumuare	fumuar	Ncfp-n	fu.mu.a.re	fumu'are	f u m u a r e
42401	42401	134022	134022	găinaț	=	Ncms-n	gă.i.naț	găin'aț	g @ i n a ts
42402	42402	134023	134023	găinațe	găinaț	Ncfp-n	găi.na.țe	găin'ațe	g @ j n a ts e
42408	42408	134033	134033	găinațuri	găinaț	Ncfp-n	găi.na.țuri	găin'ațuri	g @ j n a ts u r i_0
42464	42464	134125	134125	gărăfioare	gărăfioară	Ncfp-n	gă.ră.fi.oa.re	gărăfio'are	g @ r @ f i o_X a r e
42470	42470	134131	134131	gărăfioară	=	Ncfsrn	gă.ră.fioa.ră	gărăfio'ară	g @ r @ f j o_X a r @
43338	43338	136047	136047	gestionări	gestionare	Ncfp-n	ges.tio.nări	gestion'ări	gZ e s t j o n @ r i_0
43345	43345	136059	136059	gestionare	=	Ncfsrn	ges.ti.o.na.re	gestion'are	gZ e s t i o n a r e
43646	43646	136571	136571	ghint	=	Ncms-n	ghint	ghint	g_j i n t
43670	43670	136595	136595	ghiocear	=	Ncms-n	ghio.cear	ghioce'ar	g_j o ts a r
43671	43671	136596	136596	ghioceari	ghiocear	Ncmp-n	ghi.o.ceari	ghioce'ari	g_j i o tS a r i_0
43990	43990	137082	137082	giuvaere	ghint	Ncfp-n	giu.va.e.re	giuva'ere	gZ u v a e r e
44528	44528	138214	138214	grămăjui	grămăjuie	Ncfp-n	gră.mă.jui	grămăj'ui	g r @ m @ Z u j
44531	44531	138217	138217	grămăjuie	=	Ncfsrn	gră.mă.ju.ie	grămăj'uie	g r @ m @ Z u j e
45373	45373	140098	140098	gutui	gutuie	Ncfp-n	gu.tui	gut'ui	g u t u j
45376	45376	140101	140101	gutuie	=	Ncfsrn	gu.tu.ie	gut'uie	g u t u j e
48233	48233	146819	146819	imediatețe	=	Ncfs-n	i.me.dia.te.țe	imediat'ețe	i m e d j a t e ts e
48235	48235	146821	146821	imediateți	imediatețe	Ncfp-n	i.me.di.a.teți	imediat'eți	i m e d i a t e ts i_0
49190	49190	150573	150573	indrișaim	=	Ncms-n	in.dri.șa.im	indrișa'im	i n d r i S a i m
49191	49191	150574	150574	indrișaimi	indrișaim	Ncmp-n	in.dri.șaimi	indrișa'imi	i n d r i S a j m i_0
49912	49912	153142	153142	insinuare	=	Ncfsrn	in.si.nu.a.re	insinu'are	i n s i n u a r e
49914	49914	153185	153185	insinuări	insinuare	Ncfp-n	in.si.nuări	insinu'ări	i n s i n w @ r i_0
50338	50338	154775	154775	interacțiune	=	Ncfsrn	in.te.rac.țiu.ne	interacți'une	i n t e r a k ts j u n e
50340	50340	154777	154777	interacțiuni	interacțiune	Ncfp-n	in.te.rac.ți.uni	interacți'uni	i n t e r a k ts i u n i_0
50761	50761	156605	156605	intradermoreacție	=	Ncfsrn	in.tra.der.mo.re.ac.ți.e	intradermore'acție	i n t r a d e r m o r e a k ts i e
50763	50763	156607	156607	intradermoreacții	intradermoreacție	Ncfp-n	in.tra.der.mo.reac.ții	intradermore'acții	i n t r a d e r m o r e_X a k ts i j
51883	51883	160500	160500	jeans	=	Ncms-n	je.ans	je'ans	Z e a n s
51885	51885	160502	160502	jeanși	jeans	Ncmp-n	jeanși	je'anși	gZ i n S j
52570	52570	162644	162644	lămâi	lămâie	Ncfp-n	lă.mâi	lăm'âi	l @ m 1 j
52573	52573	162647	162647	lămâie	=	Ncfsrn	lă.mâ.ie	lăm'âie	l @ m 1 j e
52852	52852	163355	163355	laițe	laiță	Ncfp-n	lai.țe	l'aițe	l a j ts e
52857	52857	163360	163360	laiță	=	Ncfsrn	la.i.ță	l'aiță	l a i ts @
54057	54057	166359	166359	linguist	=	Ncms-n	lin.guist	lingu'ist	l i n g u j s t
54061	54061	166371	166371	linguiști	linguist	Ncmp-n	lin.gu.iști	lingu'iști	l i n g u i S t i_0
55558	55558	169980	169980	mătăhui	mătăhuie	Ncfp-n	mă.tă.hui	mătăh'ui	m @ t @ h u j
55561	55561	169983	169983	mătăhuie	=	Ncfsrn	mă.tă.hu.ie	mătăh'uie	m @ t @ h u j e
57135	57135	173309	173309	material	=	Ncms-n	ma.te.ri.al	materi'al	m a t e r i a l
57153	57153	173381	173381	materialuri	material	Ncfp-n	ma.te.ria.luri	materi'aluri	m a t e r j a l u r i_0
57775	57775	175278	175278	mențiune	=	Ncfsrn	men.țiu.ne	menți'une	m e n ts j u n e
57777	57777	175280	175280	mențiuni	mențiune	Ncfp-n	men.ți.uni	menți'uni	m e n ts i u n i_0
59006	59006	178094	178094	mineriade	mineriadă	Ncfp-n	mi.ne.ria.de	mineri'ade	m i n e r j a d e
59011	59011	178099	178099	mineriadă	=	Ncfsrn	mi.ne.ri.a.dă	mineri'adă	m i n e r i a d @
59052	59052	178189	178189	minicontainer	=	Ncms-n	mi.ni.con.tai.ner	minicont'ainer	m i n i k o n t a j n e r
59053	59053	178190	178190	minicontainere	minicontainer	Ncfp-n	mi.ni.con.ta.i.ne.re	minicont'ainere	m i n i k o n t a i n e r e
61242	61242	184221	184221	musaip	=	Ncms-n	mu.sa.ip	musa'ip	m u s a i p
61243	61243	184222	184222	musaipi	musaip	Ncmp-n	mu.saipi	musa'ipi	m u s a j p i_0
61788	61788	185667	185667	nămiezi	namiază	Ncfp-n	nă.mi.ezi	nămi'ezi	n @ m i e z i_0
62119	62119	186617	186617	namiază	=	Ncfsrn	na.mia.ză	nami'ază	n a m j a z @
62120	62120	186618	186618	namiezi	namiază	Ncfp-n	na.mi.ezi	nami'ezi	n a m i e z i_0
62407	62407	187472	187472	neadministrare	=	Ncfsrn	nead.mi.nis.tra.re	neadministr'are	n e_X a d m i n i s t r a r e
62410	62410	187476	187476	neadministrări	neadministrare	Ncfp-n	ne.ad.mi.nis.trări	neadministr'ări	n e a d m i n i s t r @ r i_0
63439	63439	199743	199743	nevoi	nevoie	Ncfp-n	ne.voi	nev'oi	n e v o j
63442	63442	199772	199772	nevoie	=	Ncfsrn	ne.vo.ie	nev'oie	n e v o j e
64020	64020	202060	202060	noutate	=	Ncfsrn	nou.ta.te	nout'ate	n o w t a t e
64022	64022	202062	202062	noutăți	noutate	Ncfp-n	no.u.tăți	nout'ăți	n o u t @ ts i_0
64323	64323	202745	202745	oaie	=	Ncfsrn	oa.ie	o'aie	o_X a j e
64461	64461	203078	203078	obială	=	Ncfsrn	o.bia.lă	obi'ală	o b j a l @
64508	64508	203235	203235	obiele	obială	Ncfp-n	o.bi.e.le	obi'ele	o b i e l e
64946	64946	204638	204638	odăi	odaie	Ncfp-n	o.dăi	od'ăi	o d @ j
64956	64956	204648	204648	odaie	=	Ncfsrn	o.da.ie	od'aie	o d a j e
65151	65151	205333	205333	ohtoic	=	Ncms-n	oh.to.ic	ohto'ic	o h t o i k
65154	65154	205336	205336	ohtoicuri	ohtoic	Ncfp-n	oh.toi.curi	ohto'icuri	o h t o j k u r i_0
65157	65157	205339	205339	oi	oaie	Ncfp-n	oi	oi	o j
65175	65175	205359	205359	oiște	=	Ncfsrn	o.iș.te	'oiște	o i S t e
65177	65177	205361	205361	oiști	oiște	Ncfp-n	oiști	oiști	o j S t i_0
66535	66535	209181	209181	ovreice	ovreică	Ncfp-n	o.vrei.ce	ovr'eice	o v r e j tS e
66540	66540	209186	209186	ovreică	=	Ncfsrn	o.vre.i.că	ovr'eică	o v r e i k @
68804	68804	214836	214836	pauperizare	=	Ncfsrn	pa.u.pe.ri.za.re	pauperiz'are	p a u p e r i z a r e
68806	68806	214838	214838	pauperizări	pauperizare	Ncfp-n	pau.pe.ri.zări	pauperiz'ări	p a w p e r i z @ r i_0
69036	69036	215436	215436	pedopsihiatrie	=	Ncfsrn	pe.do.psi.hia.tri.e	pedopsihiatr'ie	p e d o p s i h j a t r i e
69038	69038	215438	215438	pedopsihiatrii	pedopsihiatrie	Ncfp-n	pe.do.psi.hi.a.trii	pedopsihiatr'ii	p e d o p s i h i a t r i j
69311	69311	216066	216066	pentateuh	=	Ncms-n	pen.ta.teuh	pentat'euh	p e n t a t e w h
69314	69314	216070	216070	pentateuhuri	pentateuh	Ncfp-n	pen.ta.te.u.huri	pentat'euhuri	p e n t a t e u h u r i_0
69406	69406	216290	216290	percuționist	=	Ncms-n	per.cu.țio.nist	percuțion'ist	p e r k u ts j o n i s t
69409	69409	216293	216293	percuționiști	percuționist	Ncmp-n	per.cu.ți.o.niști	percuțion'iști	p e r k u ts i o n i S t i_0
70384	70384	218973	218973	piemn	=	Ncms-n	pi.emn	pi'emn	p i e m n
70387	70387	218976	218976	piemnuri	piemn	Ncfp-n	piem.nuri	pi'emnuri	p j e m n u r i_0
71623	71623	222143	222143	ploaie	=	Ncfsrn	ploa.ie	plo'aie	p l o_X a j e
71630	71630	222150	222150	ploi	ploaie	Ncfp-n	ploi	ploi	p l o j
73603	73603	227120	227120	prairial	=	Ncms-n	prai.rial	prairi'al	p r a j r j a l
73604	73604	227121	227121	prairiali	prairial	Ncmp-n	prai.ri.ali	prairi'ali	p r a j r i a l i_0
74114	74114	229049	229049	preluări	preluare	Ncfp-n	pre.lu.ări	prelu'ări	p r e l u @ r i_0
74119	74119	229059	229059	preluare	=	Ncfsrn	pre.lua.re	prelu'are	p r e l w a r e
74343	74343	229871	229871	prescriere	=	Ncfsrn	pres.crie.re	prescr'iere	p r e s k r j e r e
74345	74345	229873	229873	prescrieri	prescriere	Ncfp-n	pre.scri.eri	prescr'ieri	p r e s k r i e r i_0
76572	76572	236846	236846	ptomaine	ptomaină	Ncfp-n	pto.mai.ne	ptoma'ine	p t o m a j n e
76577	76577	236851	236851	ptomaină	=	Ncfsrn	pto.ma.i.nă	ptoma'ină	p t o m a i n @
77974	77974	241716	241716	radiație	=	Ncfsrn	ra.di.a.ți.e	radi'ație	r a d i a ts i e
77976	77976	241718	241718	radiații	radiație	Ncfp-n	ra.dia.ții	radi'ații	r a d j a ts i j
78699	78699	243368	243368	reacție	=	Ncfsrn	re.ac.ți.e	re'acție	r e a k ts i e
78701	78701	243370	243370	reacții	reacție	Ncfp-n	reac.ții	re'acții	r e_X a k ts i j
79551	79551	247252	247252	reevaluare	=	Ncfsrn	re.e.va.lua.re	reevalu'are	r e e v a l w a r e
79553	79553	247295	247295	reevaluări	reevaluare	Ncfp-n	re.e.va.lu.ări	reevalu'ări	r e e v a l u @ r i_0
80005	80005	248950	248950	reinserție	=	Ncfsrn	re.in.ser.ți.e	reins'erție	r e i n s e r ts i e
80007	80007	248952	248952	reinserții	reinserție	Ncfp-n	rein.ser.ții	reins'erții	r e j n s e r ts i j
80011	80011	248994	248994	reinstaurare	=	Ncfsrn	re.in.sta.u.ra.re	reinstaur'are	r e i n s t a u r a r e
80013	80013	249037	249037	reinstaurări	reinstaurare	Ncfp-n	re.in.stau.rări	reinstaur'ări	r e i n s t a w r @ r i_0
80187	80187	249833	249833	reluare	=	Ncfsrn	re.lua.re	relu'are	r e l w a r e
80190	80190	249872	249872	reluări	reluare	Ncfp-n	re.lu.ări	relu'ări	r e l u @ r i_0
82587	82587	259106	259106	râi	râie	Ncfp-n	râi	r'âi	r 1 j
82590	82590	259109	259109	râie	=	Ncf--n	râ.ie	r'âie	r 1 j e
84735	84735	264696	264696	scurteici	scurteică	Ncfp-n	scur.teici	scurte'ici	s k u r t e j tS
84741	84741	264702	264702	scurteică	=	Ncfsrn	scur.te.i.că	scurte'ică	s k u r t e i k @
84810	84810	264919	264919	scântei	scânteie	Ncfp-n	scân.tei	scânt'ei	s k 1 n t e j
84813	84813	264946	264946	scânteie	=	Ncfsrn	scân.te.ie	scânt'eie	s k 1 n t e j e
86593	86593	269791	269791	similipiatră	=	Ncfsrn	si.mi.li.pia.tră	similipi'atră	s i m i l i p j a t r @
86594	86594	269792	269792	similipietre	similipiatră	Ncfp-n	si.mi.li.pi.e.tre	similipi'etre	s i m i l i p i e t r e
89157	89157	277103	277103	statui	statuie	Ncfp-n	sta.tui	stat'ui	s t a t u j
89160	89160	277106	277106	statuie	=	Ncfsrn	sta.tu.ie	stat'uie	s t a t u j e
89198	89198	277209	277209	stean	=	Ncms-n	stean	ste'an	s t e_X a n
89199	89199	277210	277210	steane	stean	Ncfp-n	ste.a.ne	ste'ane	s t e a n e
90523	90523	281524	281524	subscriere	=	Ncfsrn	sub.scrie.re	subscr'iere	s u b s k r j e r e
90526	90526	281527	281527	subscrieri	subscriere	Ncfp-n	sub.scri.eri	subscr'ieri	s u b s k r i e r i_0
91663	91663	286156	286156	suveici	suveică	Ncfp-n	su.veici	suv'eici	s u v e j tS
91668	91668	286161	286161	suveică	=	Ncfsrn	su.ve.i.că	suv'eică	s u v e i k @
91970	91970	286944	286944	tămâi	tămâie	Ncfp-n	tă.mâi	tăm'âi	t @ m 1 j
91973	91973	286947	286947	tămâie	=	Ncfsrn	tă.mâ.ie	tăm'âie	t @ m 1 j e
92099	92099	287155	287155	tăureanc	=	Ncms-n	tău.reanc	tăure'anc	t @ w r e_X a n k
92102	92102	287158	287158	tăurenci	tăureanc	Ncmp-n	tă.u.renci	tăur'enci	t @ u r e n tS
92728	92728	288366	288366	taumaturg	=	Ncms-n	tau.ma.turg	taumat'urg	t a w m a t u r g
92729	92729	288367	288367	taumaturgi	taumaturg	Ncmp-n	ta.u.ma.turgi	taumat'urgi	t a u m a t u r gZ
93121	93121	289049	289049	teleleice	teleleică	Ncfp-n	te.le.lei.ce	telel'eice	t e l e l e j tS e
93123	93123	289051	289051	teleleici	teleleică	Ncfp-n	te.le.leici	telel'eici	t e l e l e j tS
93129	93129	289057	289057	teleleică	=	Ncfsrn	te.le.le.i.că	telel'eică	t e l e l e i k @
93153	93153	289083	289083	telescaun	=	Ncms-n	te.les.caun	telesc'aun	t e l e s k a w n
93154	93154	289084	289084	telescaune	telescaun	Ncfp-n	te.les.ca.u.ne	telesc'aune	t e l e s k a u n e
93980	93980	291161	291161	tigaie	=	Ncfsrn	ti.ga.ie	tig'aie	t i g a j e
94004	94004	291185	291185	tigăi	tigaie	Ncfp-n	ti.găi	tig'ăi	t i g @ j
94721	94721	292792	292792	toreutici	toreutică	Ncfp-n	to.re.u.tici	tore'utici	t o r e u t i tS
94726	94726	292797	292797	toreutică	=	Ncfsrn	to.reu.ti.că	tore'utică	t o r e w t i k @
94891	94891	293254	293254	trăitor	=	Ncms-n	tră.i.tor	trăit'or	t r @ i t o r
94892	94892	293256	293256	trăitori	trăitor	Ncmp-n	trăi.tori	trăit'ori	t r @ j t o r i_0
95287	95287	294320	294320	translare	=	Ncfsrn	trans.la.re	transl'are	t r a n s l a r e
95296	95296	294374	294374	translatări	translare	Ncfp-n	trans.la.tări	translat'ări	t r a n s l a t @ r i_0
98172	98172	303209	303209	văpaie	=	Ncfsrn	vă.pa.ie	văp'aie	v @ p a j e
98179	98179	303218	303218	văpăi	văpaie	Ncfp-n	vă.păi	văp'ăi	v @ p @ j
98523	98523	304240	304240	variație	=	Ncfsrn	va.ri.a.ți.e	vari'ație	v a r i a ts i e
