	Unnamed: 0	form	lemma	xpos	syll	stress	phon	syll_count	comment	stress_syl	root	key
74	826	șerpaș	=	Ncms-n	șer.paș	șerp'aș	S e r p a S	2		1	S e r p a S	șerpaș|=|Ncms-n|1
75	843	șerpoaică	=	Ncfsrn	șer.poai.că	șerpo'aică	S e r p o_X a j k @	3		1	S e r p o_X a j k	șerpoaică|=|Ncfsrn|1
76	845	șerpui	=	Vmnp	șer.pu.i	șerpu'i	S e r p u i	3		2	S e r p u	șerpui|=|Vmnp|2
77	882	șerpuit	=	Afpms-n	șer.pu.it	șerpu'it	S e r p u i t	3		2	S e r p u i t	șerpuit|=|Afpms-n|2
78	902	șervet	=	Ncms-n	șer.vet	șerv'et	S e r v e t	2		1	S e r v e t	șervet|=|Ncms-n|1
79	909	șervețel	=	Ncms-n	șer.ve.țel	șerveț'el	S e r v e ts e l	3		2	S e r v e ts e l	șervețel|=|Ncms-n|2
80	915	șes	=	Ncms-n	șes	șes	S e s	1		0	S e s	șes|=|Ncms-n|0
81	929	șest	=	Ncms-n	șest	șest	S e s t	1		0	S e s t	șest|=|Ncms-n|0
82	936	șestină	=	Ncfsrn	șes.ti.nă	ș'estină	S e s t i n @	3		0	S e s t i n	șestină|=|Ncfsrn|0
83	958	șevretă	=	Ncfsrn	șe.vre.tă	șevr'etă	S e v r e t @	3		1	S e v r e t	șevretă|=|Ncfsrn|1
84	959	șevrou	=	Ncms-n	șe.vrou	șevr'ou	S e v r o w	2		1	S e v r o	șevrou|=|Ncms-n|1
85	963	șezlong	=	Ncms-n	șez.long	șezl'ong	S e z l o n g	2		1	S e z l o n g	șezlong|=|Ncms-n|1
86	993	șfară	=	Ncfsrn	șfa.ră	șf'ară	S f a r @	2		0	S f a r	șfară|=|Ncfsrn|0
87	994	șfarț	=	Ncms-n	șfarț	șfarț	S f a r ts	1		0	S f a r ts	șfarț|=|Ncms-n|0
88	1000	șfei	=	Ncm--n	șfei	șfei	S f e j	1		0	S f e	șfei|=|Ncm--n|0
89	1008	șfert	=	Ncms-n	șf.ert	șf'ert	S f e r t	-1	syll count mismatch	1	S f e r t	șfert|=|Ncms-n|1
90	1014	șfeșnic	=	Ncms-n	șfeș.nic	șf'eșnic	S f e S n i k	2		0	S f e S n i k	șfeșnic|=|Ncms-n|0
91	1020	șfichi	=	Ncms-n	șfichi	șfichi	S f i k_j	1		0	S f i k_j	șfichi|=|Ncms-n|0
92	1027	șfichiuitură	=	Ncfsrn	șfi.chiu.i.tu.ră	șfichiuit'ură	S f i k_j u i t u r @	5		3	S f i k_j u i t u r	șfichiuitură|=|Ncfsrn|3
93	1034	șfoară	=	Ncfsrn	șfoa.ră	șfo'ară	S f o_X a r @	2		0	S f o_X a r	șfoară|=|Ncfsrn|0
94	1040	șfăițuire	=	Ncfsrn	șfăi.țu.i.re	șfăițu'ire	S f @ j ts u i r e	4		2	S f @ j ts u i r	șfăițuire|=|Ncfsrn|2
95	1049	șișcă	=	Ncfsrn	șiș.că	ș'ișcă	S i S k @	2		0	S i S k	șișcă|=|Ncfsrn|0
96	1061	șiță	=	Ncfsrn	și.ță	ș'iță	S i ts @	2		0	S i ts	șiță|=|Ncfsrn|0
97	1063	șicana	=	Vmnp	și.ca.na	șican'a	S i k a n a	3		2	S i k a n	șicana|=|Vmnp|2
98	1098	șicană	=	Ncfsrn	și.ca.nă	șic'ană	S i k a n @	3		1	S i k a n	șicană|=|Ncfsrn|1
99	1101	șif	=	Ncms-n	șif	șif	S i f	1		0	S i f	șif|=|Ncms-n|0
100	1105	șifona	=	Vmnp	și.fo.na	șifon'a	S i f o n a	3		2	S i f o n	șifona|=|Vmnp|2
101	1106	șifonabil	=	Afpms-n	și.fo.na.bil	șifon'abil	S i f o n a b i l	4		2	S i f o n a b i l	șifonabil|=|Afpms-n|2
102	1133	șifonat	=	Afpms-n	și.fo.nat	șifon'at	S i f o n a t	3		2	S i f o n a t	șifonat|=|Afpms-n|2
103	1163	șifonier	=	Ncms-n	și.fo.ni.er	șifoni'er	S i f o n i e r	4		3	S i f o n i e r	șifonier|=|Ncms-n|3
104	1177	șiit	=	Afpms-n	și.it	și'it	S i i t	2		1	S i i t	șiit|=|Afpms-n|1
105	1188	șiită	=	Ncfsrn	și.i.tă	și'ită	S i i t @	3		1	S i i t	șiită|=|Ncfsrn|1
106	1192	șild	=	Ncms-n	șild	șild	S i l d	1		0	S i l d	șild|=|Ncms-n|0
107	1199	șindrilar	=	Ncms-n	șin.dri.lar	șindril'ar	S i n d r i l a r	3		2	S i n d r i l a r	șindrilar|=|Ncms-n|2
108	1211	șintoist	=	Afpms-n	șin.to.ist	șinto'ist	S i n t o i s t	3		2	S i n t o i s t	șintoist|=|Afpms-n|2
109	1224	șină	=	Ncfsrn	și.nă	ș'ină	S i n @	2		0	S i n	șină|=|Ncfsrn|0
110	1225	șip	=	Ncms-n	șip	șip	S i p	1		0	S i p	șip|=|Ncms-n|0
111	1238	șipculiță	=	Ncfsrn	șip.cu.li.ță	șipcul'iță	S i p k u l i ts @	4		2	S i p k u l i ts	șipculiță|=|Ncfsrn|2
112	1239	șipcă	=	Ncfsrn	șip.că	ș'ipcă	S i p k @	2		0	S i p k	șipcă|=|Ncfsrn|0
113	1248	șiră	=	Ncfsrn	și.ră	ș'iră	S i r @	2		0	S i r	șiră|=|Ncfsrn|0
114	1249	șir	=	Ncms-n	șir	șir	S i r	1		0	S i r	șir|=|Ncms-n|0
115	1253	șireag	=	Ncms-n	și.reag	șire'ag	S i r e_X a g	2		1	S i r e_X a g	șireag|=|Ncms-n|1
116	1266	șireglă	=	Ncfsrn	și.re.glă	șir'eglă	S i r e g l @	3		1	S i r e g l	șireglă|=|Ncfsrn|1
117	1270	șiret	=	Ncms-n	și.ret	șir'et	S i r e t	2		1	S i r e t	șiret|=|Ncms-n|1
118	1271	șiretlic	=	Ncms-n	și.re.tlic	șiretl'ic	S i r e t l i k	3		2	S i r e t l i k	șiretlic|=|Ncms-n|2
119	1285	șiroi	=	Vmnp	și.ro.i	șiro'i	S i r o i	3		2	S i r o	șiroi|=|Vmnp|2
120	1315	șist	=	Ncms-n	șist	șist	S i s t	1		0	S i s t	șist|=|Ncms-n|0
121	1316	șistificare	=	Ncfsrn	șis.ti.fi.ca.re	șistific'are	S i s t i f i k a r e	5		3	S i s t i f i k a r	șistificare|=|Ncfsrn|3
122	1329	șlagăr	=	Ncms-n	șla.găr	șl'agăr	S l a g @ r	2		0	S l a g @ r	șlagăr|=|Ncms-n|0
123	1343	șlampăt	=	Afpms-n	șlam.păt	șl'ampăt	S l a m p @ t	2		0	S l a m p @ t	șlampăt|=|Afpms-n|0
124	1348	șlap	=	Ncms-n	șlap	șlap	S l a p	1		0	S l a p	șlap|=|Ncms-n|0
125	1354	șleah	=	Ncms-n	șleah	șleah	S l e_X a h	1		0	S l e_X a h	șleah|=|Ncms-n|0
126	1356	șleahtic	=	Ncms-n	șleah.tic	șle'ahtic	S l e_X a h t i k	2		0	S l e_X a h t i k	șleahtic|=|Ncms-n|0
127	1363	șleahtă	=	Ncfsrn	șleah.tă	șle'ahtă	S l e_X a h t @	2		0	S l e_X a h t	șleahtă|=|Ncfsrn|0
128	1377	șleampăt	=	Afpms-n	șleam.păt	șle'ampăt	S l e_X a m p @ t	2		0	S l e_X a m p @ t	șleampăt|=|Afpms-n|0
129	1383	șleapcă	=	Ncfsrn	șleap.că	șle'apcă	S l e_X a p k @	2		0	S l e_X a p k	șleapcă|=|Ncfsrn|0
130	1384	șleau	=	Ncms-n	șleau	șleau	S l e_X a w	1		0	S l e_X a	șleau|=|Ncms-n|0
131	1399	șlefuitor	=	Afpms-n	șle.fu.i.tor	șlefuit'or	S l e f u i t o r	4		3	S l e f u i t o r	șlefuitor|=|Afpms-n|3
132	1413	șlem	=	Ncm--n	șlem	șlem	S l e m	1		0	S l e m	șlem|=|Ncm--n|0
133	1414	șlem	=	Ncmsvn	șlem	șlem	S l e m	1		0	S l e m	șlem|=|Ncmsvn|0
134	1417	șlep	=	Ncms-n	șlep	șlep	S l e p	1		0	S l e p	șlep|=|Ncms-n|0
135	1435	șliboviță	=	Ncfsrn	șli.bo.vi.ță	șl'iboviță	S l i b o v i ts @	4		0	S l i b o v i ts	șliboviță|=|Ncfsrn|0
136	1436	șlic	=	Ncms-n	șlic	șlic	S l i k	1		0	S l i k	șlic|=|Ncms-n|0
137	1442	șlif	=	Ncms-n	șlif	șlif	S l i f	1		0	S l i f	șlif|=|Ncms-n|0
138	1448	șlire	=	Ncfsrn	șli.re	șl'ire	S l i r e	2		0	S l i r	șlire|=|Ncfsrn|0
139	1455	șliț	=	Ncms-n	șliț	șliț	S l i ts	1		0	S l i ts	șliț|=|Ncms-n|0
140	1462	șluc	=	Ncms-n	șluc	șluc	S l u k	1		0	S l u k	șluc|=|Ncms-n|0
141	1471	șmag	=	Ncm--n	șmag	șmag	S m a g	1		0	S m a g	șmag|=|Ncm--n|0
142	1472	șmag	=	Ncmsvn	șmag	șmag	S m a g	1		0	S m a g	șmag|=|Ncmsvn|0
143	1475	șmal	=	Ncms-n	șmal	șmal	S m a l	1		0	S m a l	șmal|=|Ncms-n|0
144	1483	șmecheră	=	Ncfsrn	șme.che.ră	șm'echeră	S m e k_j e r @	3		0	S m e k_j e r	șmecheră|=|Ncfsrn|0
145	1485	șmecher	=	Afpms-n	șme.cher	șm'echer	S m e k_j e r	2		0	S m e k_j e r	șmecher|=|Afpms-n|0
146	1486	șmecher	=	Ncms-n	șme.cher	șm'echer	S m e k_j e r	2		0	S m e k_j e r	șmecher|=|Ncms-n|0
147	1511	șmecheri	=	Vmnp	șme.che.ri	șmecher'i	S m e k_j e r i	3		2	S m e k_j e r	șmecheri|=|Vmnp|2
148	1515	șmecherie	=	Ncfsrn	șme.che.ri.e	șmecher'ie	S m e k_j e r i e	4		2	S m e k_j e r i	șmecherie|=|Ncfsrn|2
149	1546	șmecherlâc	=	Ncms-n	șme.cher.lâc	șmecherl'âc	S m e k_j e r l 1 k	3		2	S m e k_j e r l 1 k	șmecherlâc|=|Ncms-n|2
150	1558	șmirghel	=	Ncms-n	șmir.ghel	șm'irghel	S m i r g_j e l	2		0	S m i r g_j e l	șmirghel|=|Ncms-n|0
151	1573	șmotri	=	Vmnp	șmo.tri	șmotr'i	S m o t r i	2		1	S m o t r	șmotri|=|Vmnp|1
152	1594	șmotru	=	Ncms-n	șmo.tru	șm'otru	S m o t r u	2		0	S m o t r	șmotru|=|Ncms-n|0
153	1600	șnapan	=	Ncms-n	șna.pan	șnap'an	S n a p a n	2		1	S n a p a n	șnapan|=|Ncms-n|1
154	1608	șnaps	=	Ncm--n	șnaps	șnaps	S n a p s	1		0	S n a p s	șnaps|=|Ncm--n|0
155	1609	șnaps	=	Ncmsvn	șnaps	șnaps	S n a p s	1		0	S n a p s	șnaps|=|Ncmsvn|0
156	1615	șnec	=	Ncms-n	șnec	șnec	S n e k	1		0	S n e k	șnec|=|Ncms-n|0
157	1622	șnur	=	Ncms-n	șnur	șnur	S n u r	1		0	S n u r	șnur|=|Ncms-n|0
158	1629	șnurceramică	=	Ncfsrn	șnur.ce.ra.mi.că	șnurcer'amică	S n u r tS e r a m i k @	5		2	S n u r tS e r a m i k	șnurceramică|=|Ncfsrn|2
159	1631	șnurui	=	Vmnp	șnu.ru.i	șnuru'i	S n u r u i	3		2	S n u r u	șnurui|=|Vmnp|2
160	1668	șoș	=	Ncms-n	șoș	șoș	S o S	1		0	S o S	șoș|=|Ncms-n|0
161	1674	șoacăț	=	Ncms-n	șoa.căț	șo'acăț	S o_X a k @ ts	2		0	S o_X a k @ ts	șoacăț|=|Ncms-n|0
162	1694	șoaldină	=	Ncfsrn	șoal.di.nă	șo'aldină	S o_X a l d i n @	3		0	S o_X a l d i n	șoaldină|=|Ncfsrn|0
163	1702	șoantă	=	Ncfsrn	șoan.tă	șo'antă	S o_X a n t @	2		0	S o_X a n t	șoantă|=|Ncfsrn|0
164	1710	șoaptă	=	Ncfsrn	șoap.tă	șo'aptă	S o_X a p t @	2		0	S o_X a p t	șoaptă|=|Ncfsrn|0
165	1711	șoarec	=	Ncms-n	șoa.rec	șo'arec	S o_X a r e k	2		0	S o_X a r e k	șoarec|=|Ncms-n|0
166	1712	șoarece	=	Ncms-n	șoa.re.ce	șo'arece	S o_X a r e tS e	3		0	S o_X a r e tS	șoarece|=|Ncms-n|0
167	1724	șobolan	=	Ncms-n	șo.bo.lan	șobol'an	S o b o l a n	3		2	S o b o l a n	șobolan|=|Ncms-n|2
168	1733	șoc	=	Ncms-n	șoc	șoc	S o k	1		0	S o k	șoc|=|Ncms-n|0
169	1735	șoca	=	Vmnp	șo.ca	șoc'a	S o k a	2		1	S o k	șoca|=|Vmnp|1
170	1739	șocant	=	Afpms-n	șo.cant	șoc'ant	S o k a n t	2		1	S o k a n t	șocant|=|Afpms-n|1
171	1762	șocat	=	Afpms-n	șo.cat	șoc'at	S o k a t	2		1	S o k a t	șocat|=|Afpms-n|1
172	1797	șod	=	Afpms-n	șod	șod	S o d	1		0	S o d	șod|=|Afpms-n|0
173	1801	șofa	=	Vmnp	șo.fa	șof'a	S o f a	2		1	S o f	șofa|=|Vmnp|1
174	1805	șofaj	=	Ncm--n	șo.faj	șof'aj	S o f a Z	2		1	S o f a Z	șofaj|=|Ncm--n|1
175	1806	șofaj	=	Ncmsvn	șo.faj	șof'aj	S o f a Z	2		1	S o f a Z	șofaj|=|Ncmsvn|1
176	1833	șofer	=	Ncms-n	șo.fer	șof'er	S o f e r	2		1	S o f e r	șofer|=|Ncms-n|1
177	1844	șoferiță	=	Ncfsrn	șo.fe.ri.ță	șofer'iță	S o f e r i ts @	4		2	S o f e r i ts	șoferiță|=|Ncfsrn|2
178	1851	șofran	=	Ncms-n	șo.fran	șofr'an	S o f r a n	2		1	S o f r a n	șofran|=|Ncms-n|1
179	1863	șoim	=	Ncms-n	șoim	șoim	S o j m	1		0	S o j m	șoim|=|Ncms-n|0
180	1864	șoimar	=	Ncms-n	șoi.mar	șoim'ar	S o j m a r	2		1	S o j m a r	șoimar|=|Ncms-n|1
181	1877	șold	=	Ncms-n	șold	șold	S o l d	1		0	S o l d	șold|=|Ncms-n|0
182	1885	șolticărie	=	Ncfsrn	șol.ti.că.ri.e	șolticăr'ie	S o l t i k @ r i e	5		3	S o l t i k @ r i	șolticărie|=|Ncfsrn|3
183	1891	șoltuz	=	Ncms-n	șol.tuz	șolt'uz	S o l t u z	2		1	S o l t u z	șoltuz|=|Ncms-n|1
184	1898	șomaj	=	Ncms-n	șo.maj	șom'aj	S o m a Z	2		1	S o m a Z	șomaj|=|Ncms-n|1
185	1901	șomer	=	Ncms-n	șo.mer	șom'er	S o m e r	2		1	S o m e r	șomer|=|Ncms-n|1
186	1915	șomeră	=	Ncfsrn	șo.me.ră	șom'eră	S o m e r @	3		1	S o m e r	șomeră|=|Ncfsrn|1
187	1919	șomoiog	=	Ncms-n	șo.mo.iog	șomoi'og	S o m o j o g	3		2	S o m o j o g	șomoiog|=|Ncms-n|2
188	1920	șomoiogel	=	Ncms-n	șo.mo.io.gel	șomoiog'el	S o m o j o gZ e l	4		3	S o m o j o gZ e l	șomoiogel|=|Ncms-n|3
189	1929	șont	=	Afpms-n	șont	șont	S o n t	1		0	S o n t	șont|=|Afpms-n|0
190	1937	șontorog	=	Afpms-n	șon.to.rog	șontor'og	S o n t o r o g	3		2	S o n t o r o g	șontorog|=|Afpms-n|2
191	1951	șopron	=	Ncms-n	șo.pron	șopr'on	S o p r o n	2		1	S o p r o n	șopron|=|Ncms-n|1
192	1954	șopru	=	Ncms-n	șo.pru	ș'opru	S o p r u	2		0	S o p r	șopru|=|Ncms-n|0
193	1960	șopruț	=	Ncms-n	șo.pruț	șopr'uț	S o p r u ts	2		1	S o p r u ts	șopruț|=|Ncms-n|1
194	1982	șopti	=	Vmnp	șop.ti	șopt'i	S o p t i	2		1	S o p t	șopti|=|Vmnp|1
195	1996	șoptit	=	Afpms-n	șop.tit	șopt'it	S o p t i t	2		1	S o p t i t	șoptit|=|Afpms-n|1
196	2024	șopârlă	=	Ncfsrn	șo.pâr.lă	șop'ârlă	S o p 1 r l @	3		1	S o p 1 r l	șopârlă|=|Ncfsrn|1
197	2028	șoricel	=	Ncms-n	șo.ri.cel	șoric'el	S o r i tS e l	3		2	S o r i tS e l	șoricel|=|Ncms-n|2
198	2032	șorici	=	Ncms-n	șo.rici	șor'ici	S o r i tS	2		1	S o r i tS	șorici|=|Ncms-n|1
199	2040	șoricioaică	=	Ncfsrn	șo.ri.cioai.că	șoricio'aică	S o r i tS o_X a j k @	4		2	S o r i tS o_X a j k	șoricioaică|=|Ncfsrn|2
200	2047	șort	=	Ncms-n	șort	șort	S o r t	1		0	S o r t	șort|=|Ncms-n|0
201	2054	șorț	=	Ncms-n	șorț	șorț	S o r ts	1		0	S o r ts	șorț|=|Ncms-n|0
202	2057	șorțuleț	=	Ncms-n	șor.țu.leț	șorțul'eț	S o r ts u l e ts	3		2	S o r ts u l e ts	șorțuleț|=|Ncms-n|2
203	2068	șosea	=	Ncfsrn	șo.sea	șose'a	S o s e_X a	2		1	S o s e_X	șosea|=|Ncfsrn|1
204	2081	șosetă	=	Ncfsrn	șo.se.tă	șos'etă	S o s e t @	3		1	S o s e t	șosetă|=|Ncfsrn|1
205	2082	șot	=	Ncms-n	șot	șot	S o t	1		0	S o t	șot|=|Ncms-n|0
206	2084	șotie	=	Ncfsrn	șo.ti.e	ș'otie	S o t i e	3		0	S o t i	șotie|=|Ncfsrn|0
207	2093	șotron	=	Ncms-n	șo.tron	șotr'on	S o t r o n	2		1	S o t r o n	șotron|=|Ncms-n|1
208	2102	șovinism	=	Ncms-n	șo.vi.nism	șovin'ism	S o v i n i s m	3		2	S o v i n i s m	șovinism|=|Ncms-n|2
209	2105	șovârf	=	Ncms-n	șo.vâ.rf	șov'ârf	S o v 1 r f	-1	syll count mismatch	1	S o v 1 r f	șovârf|=|Ncms-n|1
