	input_form	input_syll	input_des	output_form	output_syll	output_des	input_index	output_index	change_sequences
79	asigurat	a.si.gu.r'at		asigurați	a.si.gu.r'ați	i	38050	38029	^/^ a/a s/s i/i g/g u/u r/r 'a/'a t/ț $/$
80	ștaufer	șt'au.fer		ștaufere	șt'au.fe.re	e	2477	2478	^/^ ș/ș t/t 'a/'a u/u f/f e/e r/r $/$
81	coman	co.m'an		comani	co.m'ani	i	70696	70805	^/^ c/c o/o m/m 'a/'a n/n $/$
82	văduvă	v'ă.du.vă	ă	văduve	v'ă.du.ve	e	302999	303006	^/^ v/v 'ă/'ă d/d u/u v/v $/$
83	aerotransport	a.e.ro.trans.p'ort		aerotransporturi	a.e.ro.trans.p'or.turi	uri	23444	23447	^/^ a/a e/e r/r o/o t/t r/r a/a n/n s/s p/p 'o/'o r/r t/t $/$
84	stomatolog	sto.ma.to.l'og		stomatologi	sto.ma.to.l'ogi	i	278273	278274	^/^ s/s t/t o/o m/m a/a t/t o/o l/l 'o/'o g/g $/$
85	târgovișteancă	târ.go.viș.te'an.că	ă	târgoviștence	târ.go.viș.t'en.ce	e	299043	299049	^/^ t/t â/â r/r g/g o/o v/v i/i ș/ș t/t e'a/'e n/n c/c $/$
86	jurisconsult	ju.ris.con.s'ult		jurisconsulți	ju.ris.con.s'ulți	i	161783	161786	^/^ j/j u/u r/r i/i s/s c/c o/o n/n s/s 'u/'u l/l t/ț $/$
87	ghiozdan	ghioz.d'an		ghiozdane	ghioz.d'a.ne	e	136639	136640	^/^ g/g h/h i/i o/o z/z d/d 'a/'a n/n $/$
88	promovabilitate	pro.mo.va.bi.li.t'a.te	e	promovabilități	pro.mo.va.bi.li.t'ăți	i	234468	234470	^/^ p/p r/r o/o m/m o/o v/v a/a b/b i/i l/l i/i t/t 'a/'ă t/ț $/$
89	clonare	clo.n'a.re	e	clonări	clo.n'ări	i	68237	68217	^/^ c/c l/l o/o n/n 'a/'ă r/r $/$
90	stânișoară	stâ.ni.șo'a.ră	ă	stânișoare	stâ.ni.șo'a.re	e	280450	280445	^/^ s/s t/t â/â n/n i/i ș/ș o'a/o'a r/r $/$
91	viceconsul	vi.ce.c'on.sul		viceconsuli	vi.ce.c'on.suli	i	306107	306108	^/^ v/v i/i c/c e/e c/c 'o/'o n/n s/s u/u l/l $/$
92	strâmbet	str'âm.bet		strâmbete	str'âm.be.te	e	279844	279845	^/^ s/s t/t r/r 'â/'â m/m b/b e/e t/t $/$
93	asamblaj	a.sam.bl'aj		asamblaje	a.sam.bl'a.je	e	37195	37196	^/^ a/a s/s a/a m/m b/b l/l 'a/'a j/j $/$
94	stângăcie	stân.gă.c'i.e	e	stângăcii	stân.gă.c'ii	i	280438	280440	^/^ s/s t/t â/â n/n g/g ă/ă c/c 'i/'i $/$
95	șved	șv'ed		șvezi	șv'ezi	i	3270	3292	^/^ ș/ș v/v 'e/'e d/z $/$
96	chestiune	ches.ti.'u.ne	e	chestiuni	ches.ti.'uni	i	63450	63453	^/^ c/c h/h e/e s/s t/t i/i 'u/'u n/n $/$
97	discotecă	dis.co.t'e.că	ă	discoteci	dis.co.t'eci	i	106110	106105	^/^ d/d i/i s/s c/c o/o t/t 'e/'e c/c $/$
98	autor	a.u.t'or		autori	a.u.t'ori	i	42256	42308	^/^ a/a u/u t/t 'o/'o r/r $/$
99	adenocarcinom	a.de.no.car.ci.n'om		adenocarcinoame	a.de.no.car.ci.no'a.me	e	21748	21744	^/^ a/a d/d e/e n/n o/o c/c a/a r/r c/c i/i n/n 'o/o'a m/m $/$
100	grepfrut	gr'ep.frut		grepfruturi	gr'ep.fru.turi	uri	139056	139059	^/^ g/g r/r 'e/'e p/p f/f r/r u/u t/t $/$
101	ucigaș	u.ci.g'aș		ucigași	u.ci.g'ași	i	299420	299428	^/^ u/u c/c i/i g/g 'a/'a ș/ș $/$
102	nerecunoaștere	ne.re.cu.no'aș.te.re	e	nerecunoașteri	ne.re.cu.no'aș.teri	i	197759	197761	^/^ n/n e/e r/r e/e c/c u/u n/n o'a/o'a ș/ș t/t e/e r/r $/$
103	ofiolatră	o.fi.o.l'a.tră	ă	ofiolatre	o.fi.o.l'a.tre	e	205139	205133	^/^ o/o f/f i/i o/o l/l 'a/'a t/t r/r $/$
104	comunistă	co.mu.n'is.tă	ă	comuniste	co.mu.n'is.te	e	73035	73022	^/^ c/c o/o m/m u/u n/n 'i/'i s/s t/t $/$
105	informator	in.for.ma.t'or		informatori	in.for.ma.t'ori	i	151943	151944	^/^ i/i n/n f/f o/o r/r m/m a/a t/t 'o/'o r/r $/$
106	căpșun	căp.ș'un		căpșuni	căp.ș'uni	i	55399	55406	^/^ c/c ă/ă p/p ș/ș 'u/'u n/n $/$
107	respondent	res.pon.d'ent		respondenți	res.pon.d'enți	i	252751	252752	^/^ r/r e/e s/s p/p o/o n/n d/d 'e/'e n/n t/ț $/$
108	abțibild	ab.ți.b'ild		abțibilduri	ab.ți.b'il.duri	uri	17791	17795	^/^ a/a b/b ț/ț i/i b/b 'i/'i l/l d/d $/$
109	australiancă	a.us.tra.li.'an.că	ă	australience	a.us.tra.li.'en.ce	e	40538	40550	^/^ a/a u/u s/s t/t r/r a/a l/l i/i 'a/'e n/n c/c $/$
110	strungă	str'un.gă	ă	strungi	str'ungi	i	279765	279755	^/^ s/s t/t r/r 'u/'u n/n g/g $/$
111	relație	re.l'a.ți.e	e	relații	re.l'a.ții	i	249377	249379	^/^ r/r e/e l/l 'a/'a ț/ț i/i $/$
112	balerin	ba.le.r'in		balerini	ba.le.r'ini	i	45465	45472	^/^ b/b a/a l/l e/e r/r 'i/'i n/n $/$
113	armistițiu	ar.mis.t'i.țiu	iu	armistiții	ar.mis.t'i.ți.i	ii	36494	36491	^/^ a/a r/r m/m i/i s/s t/t 'i/'i ț/ț $/$
114	capitalistă	ca.pi.ta.l'is.tă	ă	capitaliste	ca.pi.ta.l'is.te	e	58434	58421	^/^ c/c a/a p/p i/i t/t a/a l/l 'i/'i s/s t/t $/$
115	picior	pi.ci'or		picioare	pi.cio'a.re	e	218717	218700	^/^ p/p i/i c/c i/i 'o/o'a r/r $/$
116	respectare	res.pec.t'a.re	e	respectări	res.pec.t'ări	i	252538	252505	^/^ r/r e/e s/s p/p e/e c/c t/t 'a/'ă r/r $/$
117	recomandare	re.co.man.d'a.re	e	recomandări	re.co.man.d'ări	i	245324	245284	^/^ r/r e/e c/c o/o m/m a/a n/n d/d 'a/'ă r/r $/$
118	pescăruș	pes.că.r'uș		pescăruși	pes.că.r'uși	i	217922	217923	^/^ p/p e/e s/s c/c ă/ă r/r 'u/'u ș/ș $/$
119	veleat	ve.le'at		veleaturi	ve.le'a.turi	uri	304918	304922	^/^ v/v e/e l/l e'a/e'a t/t $/$
120	filială	fi.li.'a.lă	ă	filiale	fi.li.'a.le	e	126812	126798	^/^ f/f i/i l/l i/i 'a/'a l/l $/$
121	măgăruș	mă.gă.r'uș		măgăruși	mă.gă.r'uși	i	169085	169086	^/^ m/m ă/ă g/g ă/ă r/r 'u/'u ș/ș $/$
122	transă	tr'an.să	ă	transe	tr'an.se	e	293927	294038	^/^ t/t r/r 'a/'a n/n s/s $/$
123	naramz	na.r'amz		naramzi	na.r'amzi	i	186665	186666	^/^ n/n a/a r/r 'a/'a m/m z/z $/$
124	biatlonistă	bi.a.tlo.n'is.tă	ă	biatloniste	bi.a.tlo.n'is.te	e	47482	47476	^/^ b/b i/i a/a t/t l/l o/o n/n 'i/'i s/s t/t $/$
125	periculozitate	pe.ri.cu.lo.zi.t'a.te	e	periculozități	pe.ri.cu.lo.zi.t'ăți	i	216774	216776	^/^ p/p e/e r/r i/i c/c u/u l/l o/o z/z i/i t/t 'a/'ă t/ț $/$
126	mâtcă	m'ât.că	ă	mâtci	m'âtci	i	185447	185441	^/^ m/m 'â/'â t/t c/c $/$
127	comună	co.m'u.nă	ă	comune	co.m'u.ne	e	72879	72901	^/^ c/c o/o m/m 'u/'u n/n $/$
128	fizician	fi.zi.ci.'an		fizicieni	fi.zi.ci.'eni	i	127908	127912	^/^ f/f i/i z/z i/i c/c i/i 'a/'e n/n $/$
129	clientă	cli.'en.tă	ă	cliente	cli.'en.te	e	67846	67815	^/^ c/c l/l i/i 'e/'e n/n t/t $/$
130	zgârietură	zgâ.ri.e.t'u.ră	ă	zgârieturi	zgâ.ri.e.t'uri	i	312612	312607	^/^ z/z g/g â/â r/r i/i e/e t/t 'u/'u r/r $/$
131	evantai	e.van.t'ai		evantaie	e.van.t'a.ie	e	118686	118687	^/^ e/e v/v a/a n/n t/t 'a/'a i/i $/$
132	ineluctabilitate	i.ne.luc.ta.bi.li.t'a.te	e	ineluctabilități	i.ne.luc.ta.bi.li.t'ăți	i	150836	150838	^/^ i/i n/n e/e l/l u/u c/c t/t a/a b/b i/i l/l i/i t/t 'a/'ă t/ț $/$
133	sfanțih	sf'an.țih		sfanțihi	sf'an.țihi	i	268084	268085	^/^ s/s f/f 'a/'a n/n ț/ț i/i h/h $/$
134	mesă	m'e.să	ă	mese	m'e.se	e	175749	175798	^/^ m/m 'e/'e s/s $/$
135	imagine	i.m'a.gi.ne	e	imagini	i.m'a.gini	i	146694	146702	^/^ i/i m/m 'a/'a g/g i/i n/n $/$
136	adjudecat	ad.ju.de.c'at		adjudecați	ad.ju.de.c'ați	i	22101	22124	^/^ a/a d/d j/j u/u d/d e/e c/c 'a/'a t/ț $/$
137	calandror	ca.lan.dr'or		calandrori	ca.lan.dr'ori	i	56736	56738	^/^ c/c a/a l/l a/a n/n d/d r/r 'o/'o r/r $/$
138	suc	s'uc		sucuri	s'u.curi	uri	282126	282312	^/^ s/s 'u/'u c/c $/$
139	acces	ac.c'es		accese	ac.c'e.se	e	19566	19606	^/^ a/a c/c c/c 'e/'e s/s $/$
140	acces	ac.c'es		accesuri	ac.c'e.suri	uri	19566	19642	^/^ a/a c/c c/c 'e/'e s/s $/$
141	țif	ț'if		țifi	ț'ifi	i	3762	3764	^/^ ț/ț 'i/'i f/f $/$
142	țif	ț'if		țifuri	ț'i.furi	uri	3762	3768	^/^ ț/ț 'i/'i f/f $/$
143	angiospasm	an.gi.o.sp'asm		angiospasme	an.gi.o.sp'as.me	e	30796	30797	^/^ a/a n/n g/g i/i o/o s/s p/p 'a/'a s/s m/m $/$
144	casnică	c'as.ni.că	ă	casnice	c'as.ni.ce	e	59908	59893	^/^ c/c 'a/'a s/s n/n i/i c/c $/$
145	interpunere	in.ter.p'u.ne.re	e	interpuneri	in.ter.p'u.neri	i	155923	155925	^/^ i/i n/n t/t e/e r/r p/p 'u/'u n/n e/e r/r $/$
146	cusur	cu.s'ur		cusururi	cu.s'u.ruri	uri	87374	87377	^/^ c/c u/u s/s 'u/'u r/r $/$
147	șelf	ș'elf		șelfuri	ș'el.furi	uri	724	728	^/^ ș/ș 'e/'e l/l f/f $/$
148	acatalepsie	a.ca.ta.lep.s'i.e	e	acatalepsii	a.ca.ta.lep.s'ii	i	19273	19275	^/^ a/a c/c a/a t/t a/a l/l e/e p/p s/s 'i/'i $/$
149	lupă	l'u.pă	ă	lupe	l'u.pe	e	168572	168576	^/^ l/l 'u/'u p/p $/$
150	etalon	e.ta.l'on		etaloane	e.ta.lo'a.ne	e	117906	117903	^/^ e/e t/t a/a l/l 'o/o'a n/n $/$
151	parapantă	pa.ra.p'an.tă	ă	parapante	pa.ra.p'an.te	e	212946	212941	^/^ p/p a/a r/r a/a p/p 'a/'a n/n t/t $/$
152	artilerie	ar.ti.l'e.ri.e	e	artilerii	ar.ti.l'e.rii	i	36945	36947	^/^ a/a r/r t/t i/i l/l 'e/'e r/r i/i $/$
153	anvergură	an.ver.g'u.ră	ă	anverguri	an.ver.g'uri	i	33266	33261	^/^ a/a n/n v/v e/e r/r g/g 'u/'u r/r $/$
154	iaht	i'aht		iahturi	i'ah.turi	uri	145044	145059	^/^ i/i 'a/'a h/h t/t $/$
155	stipulare	sti.pu.l'a.re	e	stipulări	sti.pu.l'ări	i	278024	278065	^/^ s/s t/t i/i p/p u/u l/l 'a/'ă r/r $/$
156	frigider	fri.gi.d'er		frigidere	fri.gi.d'e.re	e	131843	131844	^/^ f/f r/r i/i g/g i/i d/d 'e/'e r/r $/$
157	făptaș	făp.t'aș		făptași	făp.t'ași	i	123194	123195	^/^ f/f ă/ă p/p t/t 'a/'a ș/ș $/$
158	obtuzunghic	ob.tuz.'un.ghic		obtuzunghice	ob.tuz.'un.ghi.ce	e	204032	204033	^/^ o/o b/b t/t u/u z/z 'u/'u n/n g/g h/h i/i c/c $/$
159	cloambă	clo'am.bă	ă	cloambe	clo'am.be	e	68115	68109	^/^ c/c l/l o'a/o'a m/m b/b $/$
160	mutilare	mu.ti.l'a.re	e	mutilări	mu.ti.l'ări	i	184496	184540	^/^ m/m u/u t/t i/i l/l 'a/'ă r/r $/$
161	funcționăraș	func.ți.o.nă.r'aș		funcționărași	func.ți.o.nă.r'ași	i	132857	132858	^/^ f/f u/u n/n c/c ț/ț i/i o/o n/n ă/ă r/r 'a/'a ș/ș $/$
162	fenol	fe.n'ol		fenoli	fe.n'oli	i	125457	125458	^/^ f/f e/e n/n 'o/'o l/l $/$
163	dispecerat	dis.pe.ce.r'at		dispecerate	dis.pe.ce.r'a.te	e	106753	106754	^/^ d/d i/i s/s p/p e/e c/c e/e r/r 'a/'a t/t $/$
164	îngrijorare	în.gri.jo.r'a.re	e	îngrijorări	în.gri.jo.r'ări	i	324057	324035	^/^ î/î n/n g/g r/r i/i j/j o/o r/r 'a/'ă r/r $/$
165	nuc	n'uc		nuci	n'uci	i	202200	202210	^/^ n/n 'u/'u c/c $/$
166	iamb	i'amb		iambi	i'ambi	i	145063	145064	^/^ i/i 'a/'a m/m b/b $/$
167	orizontală	o.ri.zon.t'a.lă	ă	orizontale	o.ri.zon.t'a.le	e	208209	208194	^/^ o/o r/r i/i z/z o/o n/n t/t 'a/'a l/l $/$
168	gogoașă	go.go'a.șă	ă	gogoașe	go.go'a.șe	e	137672	137667	^/^ g/g o/o g/g o'a/o'a ș/ș $/$
169	gogoașă	go.go'a.șă	ă	gogoși	go.g'oși	i	137672	137686	^/^ g/g o/o g/g o'a/'o ș/ș $/$
170	cozonac	co.zo.n'ac		cozonaci	co.zo.n'aci	i	82370	82371	^/^ c/c o/o z/z o/o n/n 'a/'a c/c $/$
171	punctbal	p'unct.bal		punctbale	p'unct.ba.le	e	237665	237666	^/^ p/p 'u/'u n/n c/c t/t b/b a/a l/l $/$
172	punctbal	p'unct.bal		punctbaluri	punct.b'a.luri	uri	237665	237671	^/^ p/p 'u/u n/n c/c t/t b/b a/'a l/l $/$
173	pezevenclâc	pe.ze.venc.l'âc		pezevenclâcuri	pe.ze.ven.cl'â.curi	uri	218375	218378	^/^ p/p e/e z/z e/e v/v e/e n/n c/c l/l 'â/'â c/c $/$
174	produs	pro.d'us		produse	pro.d'u.se	e	233406	233413	^/^ p/p r/r o/o d/d 'u/'u s/s $/$
175	comă	c'o.mă	ă	come	c'o.me	e	70691	71063	^/^ c/c 'o/'o m/m $/$
176	inframicrob	in.fra.mi.cr'ob		inframicrobi	in.fra.mi.cr'obi	i	152001	152002	^/^ i/i n/n f/f r/r a/a m/m i/i c/c r/r 'o/'o b/b $/$
177	cumpărător	cum.pă.ră.t'or		cumpărători	cum.pă.ră.t'ori	i	86113	86114	^/^ c/c u/u m/m p/p ă/ă r/r ă/ă t/t 'o/'o r/r $/$
178	fereastră	fe.re'as.tră	ă	ferestre	fe.r'es.tre	e	125536	125589	^/^ f/f e/e r/r e'a/'e s/s t/t r/r $/$
179	tensiune	ten.si.'u.ne	e	tensiuni	ten.si.'uni	i	289696	289699	^/^ t/t e/e n/n s/s i/i 'u/'u n/n $/$
