d_in	d_out	before	after	key1	key2	desin1	desin2	stress change
a	@	t	t	activitate|=|Ncfsrn|3	activități|activitate|Ncfp-n|3	e	i_0	FALSE
a	@	t	t	actualitate|=|Ncfsrn|4	actualități|actualitate|Ncfp-n|4	e	i_0	FALSE
a	@	z	r	actualizare|=|Ncfsrn|4	actualizări|actualizare|Ncfp-n|4	e	i_0	FALSE
a	@	l	r	acumulare|=|Ncfsrn|3	acumulări|acumulare|Ncfp-n|3	e	i_0	FALSE
a	@	z	r	acuzare|=|Ncfsrn|2	acuzări|acuzare|Ncfp-n|2	e	i_0	FALSE
a	@	n	r	acționare|=|Ncfsrn|3	acționări|acționare|Ncfp-n|3	e	i_0	FALSE
a	@	t	t	adaptabilitate|=|Ncfsrn|5	adaptabilități|adaptabilitate|Ncfp-n|5	e	i_0	FALSE
a	@	t	r	adaptare|=|Ncfsrn|2	adaptări|adaptare|Ncfp-n|2	e	i_0	FALSE
a	@	v	r	adecvare|=|Ncfsrn|2	adecvări|adecvare|Ncfp-n|2	e	i_0	FALSE
a	@	r	r	aderare|=|Ncfsrn|2	aderări|aderare|Ncfp-n|2	e	i_0	FALSE
a	@	k	r	adjudecare|=|Ncfsrn|3	adjudecări|adjudecare|Ncfp-n|3	e	i_0	FALSE
a	@	r	r	administrare|=|Ncfsrn|3	administrări|administrare|Ncfp-n|3	e	i_0	FALSE
a	@	t	r	adoptare|=|Ncfsrn|2	adoptări|adoptare|Ncfp-n|2	e	i_0	FALSE
a	@	t	t	adresabilitate|=|Ncfsrn|5	adresabilități|adresabilitate|Ncfp-n|5	e	i_0	FALSE
a	@	n	r	adunare|=|Ncfsrn|2	adunări|adunare|Ncfp-n|2	e	i_0	FALSE
a	@	t	t	adversitate|=|Ncfsrn|3	adversități|adversitate|Ncfp-n|3	e	i_0	FALSE
a	@	g	r	adăugare|=|Ncfsrn|3	adăugări|adăugare|Ncfp-n|3	e	i_0	FALSE
a	@	t	r	afectare|=|Ncfsrn|2	afectări|afectare|Ncfp-n|2	e	i_0	FALSE
a	@	t	t	afinitate|=|Ncfsrn|3	afinități|afinitate|Ncfp-n|3	e	i_0	FALSE
a	@	m	r	afirmare|=|Ncfsrn|2	afirmări|afirmare|Ncfp-n|2	e	i_0	FALSE
a	@	S	r	afișare|=|Ncfsrn|2	afișări|afișare|Ncfp-n|2	e	i_0	FALSE
a	@	l	r	aflare|=|Ncfsrn|1	aflări|aflare|Ncfp-n|1	e	i_0	FALSE
a	e	g_j	s	agheasmă|=|Ncfsrn|1	aghesme|agheasmă|Ncfp-n|1	ă	e	FALSE
a	@	r	r	aglomerare|=|Ncfsrn|3	aglomerări|aglomerare|Ncfp-n|3	e	i_0	FALSE
a	@	v	r	agravare|=|Ncfsrn|2	agravări|agravare|Ncfp-n|2	e	i_0	FALSE
a	@	s	r	agresare|=|Ncfsrn|2	agresări|agresare|Ncfp-n|2	e	i_0	FALSE
a	@	t	t	agresivitate|=|Ncfsrn|4	agresivități|agresivitate|Ncfp-n|4	e	i_0	FALSE
a	@	t	r	agroalimentare|=|Ncfsrn|5	agroalimentări|agroalimentare|Ncfp-n|5	e	i_0	FALSE
a	@	t	r	ajustare|=|Ncfsrn|2	ajustări|ajustare|Ncfp-n|2	e	i_0	FALSE
a	@	t	r	ajutare|=|Ncfsrn|2	ajutări|ajutare|Ncfp-n|2	e	i_0	FALSE
a	@	r	r	ajutorare|=|Ncfsrn|3	ajutorări|ajutorare|Ncfp-n|3	e	i_0	FALSE
a	@	m	r	alarmare|=|Ncfsrn|2	alarmări|alarmare|Ncfp-n|2	e	i_0	FALSE
a	@	l	r	alchilare|=|Ncfsrn|2	alchilări|alchilare|Ncfp-n|2	e	i_0	FALSE
a	@	g	r	alergare|=|Ncfsrn|2	alergări|alergare|Ncfp-n|2	e	i_0	FALSE
a	@	z	r	alfabetizare|=|Ncfsrn|4	alfabetizări|alfabetizare|Ncfp-n|4	e	i_0	FALSE
a	@	t	r	alimentare|=|Ncfsrn|3	alimentări|alimentare|Ncfp-n|3	e	i_0	FALSE
a	@	n	r	alinare|=|Ncfsrn|2	alinări|alinare|Ncfp-n|2	e	i_0	FALSE
a	@	t	r	alintare|=|Ncfsrn|2	alintări|alintare|Ncfp-n|2	e	i_0	FALSE
a	e	v	n	alivancă|=|Ncfsrn|2	alivenci|alivancă|Ncfp-n|2	ă	tS	FALSE
a	@	k	r	alocare|=|Ncfsrn|2	alocări|alocare|Ncfp-n|2	e	i_0	FALSE
a	@	r	r	alterare|=|Ncfsrn|2	alterări|alterare|Ncfp-n|2	e	i_0	FALSE
a	@	n	r	alternare|=|Ncfsrn|2	alternări|alternare|Ncfp-n|2	e	i_0	FALSE
a	@	k	r	alunecare|=|Ncfsrn|3	alunecări|alunecare|Ncfp-n|3	e	i_0	FALSE
a	@	g	r	alungare|=|Ncfsrn|2	alungări|alungare|Ncfp-n|2	e	i_0	FALSE
a	@	t	r	alăptare|=|Ncfsrn|2	alăptări|alăptare|Ncfp-n|2	e	i_0	FALSE
a	@	r	r	alăturare|=|Ncfsrn|3	alăturări|alăturare|Ncfp-n|3	e	i_0	FALSE
a	@	t	t	amabilitate|=|Ncfsrn|4	amabilități|amabilitate|Ncfp-n|4	e	i_0	FALSE
a	@	l	r	ambalare|=|Ncfsrn|2	ambalări|ambalare|Ncfp-n|2	e	i_0	FALSE
a	@	t	t	ambiguitate|=|Ncfsrn|4	ambiguități|ambiguitate|Ncfp-n|4	e	i_0	FALSE
a	@	r	r	ameliorare|=|Ncfsrn|4	ameliorări|ameliorare|Ncfp-n|4	e	i_0	FALSE
a	@	Z	r	amenajare|=|Ncfsrn|3	amenajări|amenajare|Ncfp-n|3	e	i_0	FALSE
a	@	d	r	amendare|=|Ncfsrn|2	amendări|amendare|Ncfp-n|2	e	i_0	FALSE
a	@	ts	r	amenințare|=|Ncfsrn|3	amenințări|amenințare|Ncfp-n|3	e	i_0	FALSE
a	@	k	r	amestecare|=|Ncfsrn|3	amestecări|amestecare|Ncfp-n|3	e	i_0	FALSE
a	e	j	z	amiază|=|Ncfsrn|1	amiezi|amiază|Ncfp-n|2	ă	i_0	TRUE
a	@	z	r	amortizare|=|Ncfsrn|3	amortizări|amortizare|Ncfp-n|3	e	i_0	FALSE
a	@	s	r	amplasare|=|Ncfsrn|2	amplasări|amplasare|Ncfp-n|2	e	i_0	FALSE
a	@	k	r	amplificare|=|Ncfsrn|3	amplificări|amplificare|Ncfp-n|3	e	i_0	FALSE
a	@	t	r	amputare|=|Ncfsrn|2	amputări|amputare|Ncfp-n|2	e	i_0	FALSE
a	@	n	r	amânare|=|Ncfsrn|2	amânări|amânare|Ncfp-n|2	e	i_0	FALSE
a	@	z	r	analizare|=|Ncfsrn|3	analizări|analizare|Ncfp-n|3	e	i_0	FALSE
a	@	t	r	anchetare|=|Ncfsrn|2	anchetări|anchetare|Ncfp-n|2	e	i_0	FALSE
a	@	r	r	ancorare|=|Ncfsrn|2	ancorări|ancorare|Ncfp-n|2	e	i_0	FALSE
a	@	s	r	anexare|=|Ncfsrn|2	anexări|anexare|Ncfp-n|2	e	i_0	FALSE
a	@	Z	r	angajare|=|Ncfsrn|2	angajări|angajare|Ncfp-n|2	e	i_0	FALSE
a	@	l	r	anihilare|=|Ncfsrn|3	anihilări|anihilare|Ncfp-n|3	e	i_0	FALSE
a	@	t	t	animozitate|=|Ncfsrn|4	animozități|animozitate|Ncfp-n|4	e	i_0	FALSE
a	@	s	r	aniversare|=|Ncfsrn|3	aniversări|aniversare|Ncfp-n|3	e	i_0	FALSE
a	@	t	t	antichitate|=|Ncfsrn|3	antichități|antichitate|Ncfp-n|3	e	i_0	FALSE
a	@	p	r	anticipare|=|Ncfsrn|3	anticipări|anticipare|Ncfp-n|3	e	i_0	FALSE
a	@	n	r	antrenare|=|Ncfsrn|2	antrenări|antrenare|Ncfp-n|2	e	i_0	FALSE
a	@	l	r	anulare|=|Ncfsrn|2	anulări|anulare|Ncfp-n|2	e	i_0	FALSE
a	@	ts	r	anunțare|=|Ncfsrn|2	anunțări|anunțare|Ncfp-n|2	e	i_0	FALSE
a	@	t	t	anxietate|=|Ncfsrn|3	anxietăți|anxietate|Ncfp-n|3	e	i_0	FALSE
a	@	k	r	aplecare|=|Ncfsrn|2	aplecări|aplecare|Ncfp-n|2	e	i_0	FALSE
a	@	t	t	aplicabilitate|=|Ncfsrn|5	aplicabilități|aplicabilitate|Ncfp-n|5	e	i_0	FALSE
a	@	k	r	aplicare|=|Ncfsrn|2	aplicări|aplicare|Ncfp-n|2	e	i_0	FALSE
a	@	b	r	aprobare|=|Ncfsrn|2	aprobări|aprobare|Ncfp-n|2	e	i_0	FALSE
a	@	d	r	aprofundare|=|Ncfsrn|3	aprofundări|aprofundare|Ncfp-n|3	e	i_0	FALSE
a	@	n	r	aprovizionare|=|Ncfsrn|5	aprovizionări|aprovizionare|Ncfp-n|5	e	i_0	FALSE
a	@	r	r	apărare|=|Ncfsrn|2	apărări|apărare|Ncfp-n|2	e	i_0	FALSE
a	@	s	r	apăsare|=|Ncfsrn|2	apăsări|apăsare|Ncfp-n|2	e	i_0	FALSE
a	e	e	n	aramean|=|Ncms-n|3	arameeni|aramean|Ncmp-n|2		i_0	TRUE
a	@	r	m	aramă|=|Ncfsrn|1	arămuri|aramă|Ncfp-n|1	ă	u r i_0	FALSE
a	@	Z	r	aranjare|=|Ncfsrn|2	aranjări|aranjare|Ncfp-n|2	e	i_0	FALSE
a	@	d	r	arendare|=|Ncfsrn|2	arendări|arendare|Ncfp-n|2	e	i_0	FALSE
a	@	t	r	arestare|=|Ncfsrn|2	arestări|arestare|Ncfp-n|2	e	i_0	FALSE
a	e	i	n	argentinian|=|Afpms-n|4	argentinieni|argentinian|Ncmp-n|4		i_0	FALSE
a	@	t	r	argumentare|=|Ncfsrn|3	argumentări|argumentare|Ncfp-n|3	e	i_0	FALSE
a	@	g	r	ariergardă|=|Ncfsrn|3	ariergărzi|ariergardă|Ncfp-n|3	ă	i_0	FALSE
a	@	z	r	armonizare|=|Ncfsrn|3	armonizări|armonizare|Ncfp-n|3	e	i_0	FALSE
a	e	i	n	arteziană|=|Ncfsrn|3	arteziene|arteziană|Ncfp-n|3	ă	e	FALSE
a	@	l	r	articulare|=|Ncfsrn|3	articulări|articulare|Ncfp-n|3	e	i_0	FALSE
a	@	t	t	artificiozitate|=|Ncfsrn|6	artificiozități|artificiozitate|Ncfp-n|6	e	i_0	FALSE
a	@	k	r	aruncare|=|Ncfsrn|2	aruncări|aruncare|Ncfp-n|2	e	i_0	FALSE
a	@	t	r	arătare|=|Ncfsrn|2	arătări|arătare|Ncfp-n|2	e	i_0	FALSE
a	@	l	r	asamblare|=|Ncfsrn|2	asamblări|asamblare|Ncfp-n|2	e	i_0	FALSE
a	@	n	r	asanare|=|Ncfsrn|2	asanări|asanare|Ncfp-n|2	e	i_0	FALSE
a	@	n	r	asasinare|=|Ncfsrn|3	asasinări|asasinare|Ncfp-n|3	e	i_0	FALSE
a	@	t	r	ascultare|=|Ncfsrn|2	ascultări|ascultare|Ncfp-n|2	e	i_0	FALSE
a	@	n	r	asemănare|=|Ncfsrn|3	asemănări|asemănare|Ncfp-n|3	e	i_0	FALSE
a	@	t	r	asfaltare|=|Ncfsrn|2	asfaltări|asfaltare|Ncfp-n|2	e	i_0	FALSE
a	@	r	r	asigurare|=|Ncfsrn|3	asigurări|asigurare|Ncfp-n|3	e	i_0	FALSE
a	@	l	r	asimilare|=|Ncfsrn|3	asimilări|asimilare|Ncfp-n|3	e	i_0	FALSE
a	@	t	r	asistare|=|Ncfsrn|2	asistări|asistare|Ncfp-n|2	e	i_0	FALSE
a	@	t	t	asociativitate|=|Ncfsrn|6	asociativități|asociativitate|Ncfp-n|6	e	i_0	FALSE
a	@	p	r	astupare|=|Ncfsrn|2	astupări|astupare|Ncfp-n|2	e	i_0	FALSE
a	@	m	r	asumare|=|Ncfsrn|2	asumări|asumare|Ncfp-n|2	e	i_0	FALSE
a	@	k	r	atacare|=|Ncfsrn|2	atacări|atacare|Ncfp-n|2	e	i_0	FALSE
a	@	S	r	atașare|=|Ncfsrn|2	atașări|atașare|Ncfp-n|2	e	i_0	FALSE
a	e	i	n	atenian|=|Ncms-n|3	atenieni|atenian|Ncmp-n|3		i_0	FALSE
a	@	u	r	atenuare|=|Ncfsrn|3	atenuări|atenuare|Ncfp-n|3	e	i_0	FALSE
a	@	n	r	atenționare|=|Ncfsrn|3	atenționări|atenționare|Ncfp-n|3	e	i_0	FALSE
a	@	z	r	aterizare|=|Ncfsrn|3	aterizări|aterizare|Ncfp-n|3	e	i_0	FALSE
a	@	t	r	atestare|=|Ncfsrn|2	atestări|atestare|Ncfp-n|2	e	i_0	FALSE
a	@	t	t	atrocitate|=|Ncfsrn|3	atrocități|atrocitate|Ncfp-n|3	e	i_0	FALSE
a	@	t	r	auditare|=|Ncfsrn|3	auditări|auditare|Ncfp-n|3	e	i_0	FALSE
EXCL	EXCL	e	l	aureală|=|Ncfsrn|3	aureli|aureală|Ncfp-n|2	ă	i_0	TRUE
a	@	t	t	austeritate|=|Ncfsrn|4	austerități|austeritate|Ncfp-n|4	e	i_0	FALSE
a	e	i	n	australian|=|Afpms-n|4	australieni|australian|Ncmp-n|4		i_0	FALSE
a	e	i	n	australiancă|=|Ncfsrn|4	australience|australiancă|Ncfp-n|4	ă	e	FALSE
a	e	i	n	australiană|=|Ncfsrn|4	australiene|australiană|Ncfp-n|4	ă	e	FALSE
a	e	i	k	austriac|=|Afpms-n|3	austrieci|austriac|Ncmp-n|3		tS	FALSE
a	e	i	k	austriacă|=|Ncfsrn|3	austriece|austriacă|Ncfp-n|3	ă	e	FALSE
a	e	i	n	austroneziană|=|Ncfsrn|5	austroneziene|austroneziană|Ncfp-n|5	ă	e	FALSE
a	@	t	t	autenticitate|=|Ncfsrn|5	autenticități|autenticitate|Ncfp-n|5	e	i_0	FALSE
a	@	k	r	autentificare|=|Ncfsrn|5	autentificări|autentificare|Ncfp-n|5	e	i_0	FALSE
a	@	t	r	autoaccidentare|=|Ncfsrn|6	autoaccidentări|autoaccidentare|Ncfp-n|6	e	i_0	FALSE
a	@	m	r	autoafirmare|=|Ncfsrn|5	autoafirmări|autoafirmare|Ncfp-n|5	e	i_0	FALSE
a	@	n	r	autoaprovizionare|=|Ncfsrn|7	autoaprovizionări|autoaprovizionare|Ncfp-n|7	e	i_0	FALSE
a	@	v	r	autoconservare|=|Ncfsrn|5	autoconservări|autoconservare|Ncfp-n|5	e	i_0	FALSE
a	@	S	r	autodeclanșare|=|Ncfsrn|5	autodeclanșări|autodeclanșare|Ncfp-n|5	e	i_0	FALSE
a	@	n	r	autodeterminare|=|Ncfsrn|6	autodeterminări|autodeterminare|Ncfp-n|6	e	i_0	FALSE
a	@	t	r	autodezvoltare|=|Ncfsrn|5	autodezvoltări|autodezvoltare|Ncfp-n|5	e	i_0	FALSE
a	@	k	r	autodiagnosticare|=|Ncfsrn|7	autodiagnosticări|autodiagnosticare|Ncfp-n|7	e	i_0	FALSE
a	@	r	r	autoechilibrare|=|Ncfsrn|6	autoechilibrări|autoechilibrare|Ncfp-n|6	e	i_0	FALSE
a	@	d	r	autofecundare|=|Ncfsrn|5	autofecundări|autofecundare|Ncfp-n|5	e	i_0	FALSE
a	@	n	r	autofrânare|=|Ncfsrn|4	autofrânări|autofrânare|Ncfp-n|4	e	i_0	FALSE
a	@	Z	r	autofurajare|=|Ncfsrn|5	autofurajări|autofurajare|Ncfp-n|5	e	i_0	FALSE
a	@	g	r	autogară|=|Ncfsrn|3	autogări|autogară|Ncfp-n|3	ă	i_0	FALSE
a	@	n	r	autoguvernare|=|Ncfsrn|5	autoguvernări|autoguvernare|Ncfp-n|5	e	i_0	FALSE
a	@	z	r	automatizare|=|Ncfsrn|5	automatizări|automatizare|Ncfp-n|5	e	i_0	FALSE
a	@	k	r	automișcare|=|Ncfsrn|4	automișcări|automișcare|Ncfp-n|4	e	i_0	FALSE
a	@	l	r	autopersiflare|=|Ncfsrn|5	autopersiflări|autopersiflare|Ncfp-n|5	e	i_0	FALSE
a	@	l	r	autoreglare|=|Ncfsrn|4	autoreglări|autoreglare|Ncfp-n|4	e	i_0	FALSE
a	@	t	t	autoritate|=|Ncfsrn|4	autorități|autoritate|Ncfp-n|4	e	i_0	FALSE
a	@	z	r	autorizare|=|Ncfsrn|4	autorizări|autorizare|Ncfp-n|4	e	i_0	FALSE
a	@	k	r	autoscară|=|Ncfsrn|3	autoscări|autoscară|Ncfp-n|3	ă	i_0	FALSE
a	@	z	r	autosesizare|=|Ncfsrn|5	autosesizări|autosesizare|Ncfp-n|5	e	i_0	FALSE
a	@	r	d	autostradă|=|Ncfsrn|3	autostrăzi|autostradă|Ncfp-n|3	ă	i_0	FALSE
a	@	t	r	autoîncântare|=|Ncfsrn|5	autoîncântări|autoîncântare|Ncfp-n|5	e	i_0	FALSE
a	@	ts	r	autoînsămânțare|=|Ncfsrn|6	autoînsămânțări|autoînsămânțare|Ncfp-n|6	e	i_0	FALSE
a	@	g	r	avangardă|=|Ncfsrn|2	avangărzi|avangardă|Ncfp-n|2	ă	i_0	FALSE
a	@	s	r	avansare|=|Ncfsrn|2	avansări|avansare|Ncfp-n|2	e	i_0	FALSE
a	@	z	r	avertizare|=|Ncfsrn|3	avertizări|avertizare|Ncfp-n|3	e	i_0	FALSE
a	@	z	r	avizare|=|Ncfsrn|2	avizări|avizare|Ncfp-n|2	e	i_0	FALSE
a	@	s	r	axare|=|Ncfsrn|1	axări|axare|Ncfp-n|1	e	i_0	FALSE
a	e	Z	n	azerbaidjan|=|Afpms-n|3	azerbaidjeni|azerbaidjan|Ncmp-n|3		i_0	FALSE
a	@	z	r	așezare|=|Ncfsrn|2	așezări|așezare|Ncfp-n|2	e	i_0	FALSE
a	@	t	r	așteptare|=|Ncfsrn|2	așteptări|așteptare|Ncfp-n|2	e	i_0	FALSE
a	e	gZ	k	bageacă|=|Ncfsrn|1	bageci|bageacă|Ncfp-n|1	ă	tS	FALSE
a	@	b	j	baie|=|Ncfsrn|0	băi|baie|Ncfp-n|0	e	j	FALSE
a	@	b	l	balangă|=|Ncfsrn|1	bălăngi|balangă|Ncfp-n|1	ă	gZ	FALSE
a	@	l	n	balangă|=|Ncfsrn|1	balăngi|balangă|Ncfp-n|1	ă	gZ	FALSE
a	@	n	r	balonare|=|Ncfsrn|2	balonări|balonare|Ncfp-n|2	e	i_0	FALSE
a	@	b	l	baltă|=|Ncfsrn|0	bălți|baltă|Ncfp-n|0	ă	i_0	FALSE
a	@	t	t	banalitate|=|Ncfsrn|3	banalități|banalitate|Ncfp-n|3	e	i_0	FALSE
a	@	z	r	banalizare|=|Ncfsrn|3	banalizări|banalizare|Ncfp-n|3	e	i_0	FALSE
a	@	b	n	bancă|=|Ncfsrn|0	bănci|bancă|Ncfp-n|0	ă	tS	FALSE
a	e	b	n	bandă|=|Ncfsrn|0	benzi|bandă|Ncfp-n|0	ă	i_0	FALSE
a	@	z	r	bantustanizare|=|Ncfsrn|4	bantustanizări|bantustanizare|Ncfp-n|4	e	i_0	FALSE
a	@	b	r	baracă|=|Ncfsrn|1	bărăci|baracă|Ncfp-n|1	ă	i_0	FALSE
a	@	r	k	baracă|=|Ncfsrn|1	barăci|baracă|Ncfp-n|1	ă	tS	FALSE
a	@	b	r	barbă|=|Ncfsrn|0	bărbi|barbă|Ncfp-n|0	ă	i_0	FALSE
a	@	b	r	barcă|=|Ncfsrn|0	bărci|barcă|Ncfp-n|0	ă	tS	FALSE
a	@	b	r	bardă|=|Ncfsrn|0	bărzi|bardă|Ncfp-n|0	ă	i_0	FALSE
a	e	b	r	barză|=|Ncfsrn|0	berze|barză|Ncfp-n|0	ă	e	FALSE
a	@	b	s	bască|=|Ncfsrn|0	băști|bască|Ncfp-n|0	ă	i_0	FALSE
a	e	i	n	belgian|=|Ncms-n|2	belgieni|belgian|Ncmp-n|2		i_0	FALSE
a	@	t	t	bestialitate|=|Ncfsrn|4	bestialități|bestialitate|Ncfp-n|4	e	i_0	FALSE
a	@	t	r	binecuvântare|=|Ncfsrn|4	binecuvântări|binecuvântare|Ncfp-n|4	e	i_0	FALSE
a	@	r	r	biodeteriorare|=|Ncfsrn|6	biodeteriorări|biodeteriorare|Ncfp-n|6	e	i_0	FALSE
a	@	l	r	biostimulare|=|Ncfsrn|3	biostimulări|biostimulare|Ncfp-n|3	e	i_0	FALSE
a	@	l	g	blagă|=|Ncfsrn|0	blăgi|blagă|Ncfp-n|0	ă	gZ	FALSE
a	@	m	r	blamare|=|Ncfsrn|1	blamări|blamare|Ncfp-n|1	e	i_0	FALSE
a	@	l	n	blană|=|Ncfsrn|0	blăni|blană|Ncfp-n|0	ă	i_0	FALSE
a	@	l	n	blană|=|Ncfsrn|0	blănuri|blană|Ncfp-n|0	ă	u r i_0	FALSE
a	@	k	r	blocare|=|Ncfsrn|1	blocări|blocare|Ncfp-n|1	e	i_0	FALSE
a	@	b	i	bobaică|=|Ncfsrn|1	bobăici|bobaică|Ncfp-n|1	ă	tS	FALSE
a	@	t	r	boicotare|=|Ncfsrn|2	boicotări|boicotare|Ncfp-n|2	e	i_0	FALSE
a	@	d	r	bombardare|=|Ncfsrn|2	bombardări|bombardare|Ncfp-n|2	e	i_0	FALSE
a	@	b	r	bombare|=|Ncfsrn|1	bombări|bombare|Ncfp-n|1	e	i_0	FALSE
a	@	t	t	bonitate|=|Ncfsrn|2	bonități|bonitate|Ncfp-n|2	e	i_0	FALSE
a	e	i	k	bosniac|=|Ncms-n|2	bosnieci|bosniac|Ncmp-n|2		tS	FALSE
a	@	z	r	botezare|=|Ncfsrn|2	botezări|botezare|Ncfp-n|2	e	i_0	FALSE
a	@	r	g	bragă|=|Ncfsrn|0	brăgi|bragă|Ncfp-n|0	ă	gZ	FALSE
a	@	S	r	branșare|=|Ncfsrn|1	branșări|branșare|Ncfp-n|1	e	i_0	FALSE
a	e	i	n	brazilian|=|Ncms-n|3	brazilieni|brazilian|Ncmp-n|3		i_0	FALSE
a	@	t	r	brevetare|=|Ncfsrn|2	brevetări|brevetare|Ncfp-n|2	e	i_0	FALSE
a	@	z	j	brezaie|=|Ncfsrn|1	brezăi|brezaie|Ncfp-n|1	e	j	FALSE
a	e	tS	g	briceag|=|Ncms-n|1	bricege|briceag|Ncfp-n|1		e	FALSE
a	@	g	d	brigadă|=|Ncfsrn|1	brigăzi|brigadă|Ncfp-n|1	ă	i_0	FALSE
a	e	i	n	browniană|=|Ncfsrn|2	browniene|browniană|Ncfp-n|2	ă	e	FALSE
a	@	t	t	brutalitate|=|Ncfsrn|3	brutalități|brutalitate|Ncfp-n|3	e	i_0	FALSE
a	@	ts	r	brățară|=|Ncfsrn|1	brățări|brățară|Ncfp-n|1	ă	i_0	FALSE
a	@	k	t	bucată|=|Ncfsrn|1	bucăți|bucată|Ncfp-n|1	ă	i_0	FALSE
a	@	l	j	bucălaie|=|Ncfsrn|2	bucălăi|bucălaie|Ncfp-n|2	e	j	FALSE
a	@	t	r	bugetare|=|Ncfsrn|2	bugetări|bugetare|Ncfp-n|2	e	i_0	FALSE
a	@	m	S	bumașcă|=|Ncfsrn|1	bumăști|bumașcă|Ncfp-n|1	ă	i_0	FALSE
a	@	t	r	bunăstare|=|Ncfsrn|2	bunăstări|bunăstare|Ncfp-n|2	e	i_0	FALSE
a	@	t	t	bunătate|=|Ncfsrn|2	bunătăți|bunătate|Ncfp-n|2	e	i_0	FALSE
a	e	j	n	buruiană|=|Ncfsrn|2	buruieni|buruiană|Ncfp-n|2	ă	i_0	FALSE
a	@	t	l	butalcă|=|Ncfsrn|1	butălci|butalcă|Ncfp-n|1	ă	tS	FALSE
a	e	j	l	bâlbâială|=|Ncfsrn|2	bâlbâieli|bâlbâială|Ncfp-n|2	ă	i_0	FALSE
a	e	j	t	băiat|=|Ncms-n|1	băieți|băiat|Ncmp-n|1		i_0	FALSE
a	e	j	t	băiată|=|Ncfsrn|1	băiete|băiată|Ncfp-n|1	ă	e	FALSE
a	e	tS	l	bălăceală|=|Ncfsrn|2	bălăceli|bălăceală|Ncfp-n|2	ă	i_0	FALSE
a	e	j	l	bănuială|=|Ncfsrn|2	bănuieli|bănuială|Ncfp-n|2	ă	i_0	FALSE
a	@	t	j	bătaie|=|Ncfsrn|1	bătăi|bătaie|Ncfp-n|1	e	j	FALSE
a	@	r	r	cadrare|=|Ncfsrn|1	cadrări|cadrare|Ncfp-n|1	e	i_0	FALSE
a	@	k	d	cadă|=|Ncfsrn|0	căzi|cadă|Ncfp-n|0	ă	i_0	FALSE
a	@	t	t	calamitate|=|Ncfsrn|3	calamități|calamitate|Ncfp-n|3	e	i_0	FALSE
a	@	l	r	calculare|=|Ncfsrn|2	calculări|calculare|Ncfp-n|2	e	i_0	FALSE
a	@	k	l	cale|=|Ncfsrn|0	căi|cale|Ncfp-n|0	e	j	FALSE
a	@	k	r	calificare|=|Ncfsrn|3	calificări|calificare|Ncfp-n|3	e	i_0	FALSE
